
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Andrew Wiggins,University of Kansas,1,60,2098,952,257,114,.437,.340,.731,35.0,15.9,4.3,1.9,1.5,.034
2,2,MIL,Jabari Parker,Duke University,1,25,738,308,138,42,.490,.250,.697,29.5,12.3,5.5,1.7,1.4,.090
3,3,PHI,Joel Embiid,University of Kansas,,,,,,,,,,,,,,,
4,4,ORL,Aaron Gordon,University of Arizona,1,28,429,148,84,18,.528,.429,.643,15.3,5.3,3.0,0.6,0.7,.074
5,5,UTA,Dante Exum,,1,61,1255,275,96,141,.345,.306,.645,20.6,4.5,1.6,2.3,0.0,.000
6,6,BOS,Marcus Smart,Oklahoma State University,1,46,1184,338,144,160,.358,.319,.667,25.7,7.3,3.1,3.5,1.7,.069
7,7,LAL,Julius Randle,University of Kentucky,1,1,14,2,0,0,.333,,.000,14.0,2.0,0.0,0.0,-0.1,-0.277
8,8,SAC,Nik Stauskas,University of Michigan,1,54,753,203,52,40,.344,.280,.872,13.9,3.8,1.0,0.7,0.2,.014
9,9,CHH,Noah Vonleh,Indiana University,1,12,96,33,26,2,.423,.200,.714,8.0,2.8,2.2,0.2,0.2,.119
10,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,1,63,1788,489,239,372,.414,.174,.530,28.4,7.8,3.8,5.9,0.9,.023
11,11,DEN,Doug McDermott,Creighton University,1,27,250,83,33,5,.410,.226,.615,9.3,3.1,1.2,0.2,-0.1,-0.026
12,12,ORL,Dario Saric,,,,,,,,,,,,,,,,
13,13,MIN,Zach LaVine,University of California Los Angeles,1,55,1135,413,120,167,.418,.291,.809,20.6,7.5,2.2,3.0,-0.6,-0.024
14,14,PHO,T.J. Warren,North Carolina State University,1,22,229,93,35,6,.483,.308,.714,10.4,4.2,1.6,0.3,0.2,.051
15,15,ATL,Adreian Payne,Michigan State University,1,10,178,48,46,1,.305,.143,.688,17.8,4.8,4.6,0.1,-0.3,-0.077
16,16,CHI,Jusuf Nurkic,,1,45,814,322,300,41,.441,.000,.667,18.1,7.2,6.7,0.9,1.5,.089
17,17,BOS,James Young,University of Kentucky,1,26,288,90,39,11,.356,.263,.565,11.1,3.5,1.5,0.4,0.3,.045
18,18,PHO,Tyler Ennis,Syracuse University,1,16,187,64,15,28,.397,.300,.800,11.7,4.0,0.9,1.8,-0.1,-0.028
19,19,CHI,Gary Harris,Michigan State University,1,35,445,115,42,21,.271,.194,.719,12.7,3.3,1.2,0.6,-0.6,-0.067
20,20,TOR,Bruno Caboclo,,1,4,16,8,2,0,.333,.667,,4.0,2.0,0.5,0.0,0.0,-0.060
21,21,OKC,Mitch McGary,University of Michigan,1,14,215,97,73,4,.506,.000,.654,15.4,6.9,5.2,0.3,0.7,.155
22,22,MEM,Jordan Adams,University of California Los Angeles,1,18,131,46,12,7,.474,.455,.500,7.3,2.6,0.7,0.4,0.2,.076
23,23,UTA,Rodney Hood,Duke University,1,32,576,189,72,37,.356,.337,.708,18.0,5.9,2.3,1.2,0.4,.033
24,24,CHH,Shabazz Napier,University of Connecticut,1,48,973,252,112,124,.387,.384,.788,20.3,5.3,2.3,2.6,0.5,.027
25,25,HOU,Clint Capela,,1,6,20,0,8,1,.000,,.000,3.3,0.0,1.3,0.2,-0.3,-0.740
26,26,MIA,P.J. Hairston,University of North Carolina,1,35,525,195,71,16,.321,.313,.850,15.0,5.6,2.0,0.5,0.2,.022
27,27,PHO,Bogdan Bogdanovic,,,,,,,,,,,,,,,,
28,28,LAC,C.J. Wilcox,University of Washington,1,14,75,35,5,6,.483,.357,1.000,5.4,2.5,0.4,0.4,0.1,.084
29,29,OKC,Josh Huestis,Stanford University,,,,,,,,,,,,,,,
30,30,SAS,Kyle Anderson,University of California Los Angeles,1,27,339,70,68,28,.358,.273,.643,12.6,2.6,2.5,1.0,0.3,.049
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,MIL,Damien Inglis,,,,,,,,,,,,,,,,
32,32,PHI,K.J. McDaniels,Clemson University,1,55,1327,478,195,70,.397,.291,.756,24.1,8.7,3.5,1.3,0.5,.018
33,33,CLE,Joe Harris,University of Virginia,1,44,426,119,33,22,.410,.397,.615,9.7,2.7,0.8,0.5,0.4,.045
34,34,NYK,Cleanthony Early,Wichita State University,1,25,373,102,51,18,.308,.261,.667,14.9,4.1,2.0,0.7,-0.4,-0.051
35,35,UTA,Jarnell Stokes,University of Tennessee,1,16,89,33,21,2,.480,,.529,5.6,2.1,1.3,0.1,0.2,.125
36,36,MIL,Johnny O'Bryant III,Louisiana State University,1,27,307,86,51,14,.369,,.455,11.4,3.2,1.9,0.5,-0.4,-0.057
37,37,TOR,DeAndre Daniels,University of Connecticut,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,University of Colorado,1,22,267,78,25,59,.311,.135,.944,12.1,3.5,1.1,2.7,0.0,.007
39,39,PHI,Jerami Grant,Syracuse University,1,46,898,287,136,47,.379,.371,.646,19.5,6.2,3.0,1.0,0.9,.047
40,40,MIN,Glenn Robinson III,University of Michigan,1,25,108,29,14,3,.333,.167,.750,4.3,1.2,0.6,0.1,0.0,.017
41,41,DEN,Nikola Jokic,,,,,,,,,,,,,,,,
42,42,HOU,Nick Johnson,University of Arizona,1,18,185,55,24,6,.346,.313,.778,10.3,3.1,1.3,0.3,0.0,.009
43,43,ATL,Walter Tavares,,,,,,,,,,,,,,,,
44,44,MIN,Markel Brown,Oklahoma State University,1,25,295,103,44,17,.375,.250,.821,11.8,4.1,1.8,0.7,0.2,.025
45,45,CHH,Dwight Powell,Stanford University,1,24,200,76,42,8,.509,.333,.741,8.3,3.2,1.8,0.3,0.6,.151
46,46,WAS,Jordan Clarkson,University of Missouri,1,39,799,361,92,88,.437,.319,.817,20.5,9.3,2.4,2.3,1.0,.063
47,47,PHI,Russ Smith,University of Louisville,1,7,33,10,3,3,.250,.167,.750,4.7,1.4,0.4,0.4,-0.2,-0.316
48,48,MIL,Lamar Patterson,University of Pittsburgh,,,,,,,,,,,,,,,
49,49,CHI,Cameron Bairstow,University of New Mexico,1,14,58,10,8,1,.214,,.800,4.1,0.7,0.6,0.1,-0.1,-0.055
50,50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,,,,,,,,,,,,,,,
52,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier University,,,,,,,,,,,,,,,
56,56,DEN,Roy Devyn Marble,University of Iowa,1,16,208,37,31,17,.318,.182,.313,13.0,2.3,1.9,1.1,-0.1,-0.032
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,University of Tennessee,,,,,,,,,,,,,,,
59,59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor University,1,34,354,123,98,12,.450,.182,.618,10.4,3.6,2.9,0.4,0.6,.087
