
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,NJN,Kenyon Martin,University of Cincinnati,15,757,23134,9325,5159,1439,.483,.234,.629,30.6,12.3,6.8,1.9,48.0,.100
2,2,VAN,Stromile Swift,Louisiana State University,9,547,10804,4582,2535,275,.473,.074,.699,19.8,8.4,4.6,0.5,21.3,.095
3,3,LAC,Darius Miles,,7,446,11730,4507,2190,840,.472,.168,.590,26.3,10.1,4.9,1.9,9.5,.039
4,4,CHI,Marcus Fizer,Iowa State University,6,289,6032,2782,1340,352,.435,.191,.691,20.9,9.6,4.6,1.2,2.7,.022
5,5,ORL,Mike Miller,University of Florida,15,955,27195,10863,4274,2597,.460,.407,.768,28.5,11.4,4.5,2.7,60.2,.106
6,6,ATL,DerMarr Johnson,University of Cincinnati,7,344,5930,2121,769,304,.411,.336,.789,17.2,6.2,2.2,0.9,6.4,.052
7,7,CHI,Chris Mihm,University of Texas at Austin,8,436,8758,3262,2302,223,.459,.231,.704,20.1,7.5,5.3,0.5,13.3,.073
8,8,CLE,Jamal Crawford,University of Michigan,15,1017,31750,15928,2486,3719,.411,.350,.858,31.2,15.7,2.4,3.7,54.0,.082
9,9,HOU,Joel Przybilla,University of Minnesota,13,592,11733,2293,3665,256,.552,.000,.557,19.8,3.9,6.2,0.4,23.0,.094
10,10,ORL,Keyon Dooling,University of Missouri,13,728,14134,5067,964,1601,.416,.349,.799,19.4,7.0,1.3,2.2,18.5,.063
11,11,BOS,Jerome Moiso,University of California Los Angeles,5,145,1392,386,395,38,.489,.000,.593,9.6,2.7,2.7,0.3,2.1,.074
12,12,DAL,Etan Thomas,Syracuse University,9,409,7084,2341,1927,149,.513,,.603,17.3,5.7,4.7,0.4,14.9,.101
