
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
13,13,ORL,Courtney Alexander,California State University Fresno,3,187,4067,1690,409,227,.422,.339,.813,21.7,9.0,2.2,1.2,4.1,.048
14,14,DET,Mateen Cleaves,Michigan State University,6,167,1863,609,175,310,.389,.267,.728,11.2,3.6,1.0,1.9,-0.8,-0.021
15,15,MIL,Jason Collier,Georgia Institute of Technology,5,151,2178,841,443,51,.455,.350,.738,14.4,5.6,2.9,0.3,1.9,.042
16,16,SAC,Hedo Turkoglu,,15,978,26421,10912,3938,2819,.426,.383,.785,27.0,11.2,4.0,2.9,62.7,.114
17,17,SEA,Desmond Mason,Oklahoma State University,10,643,19641,7767,2863,1049,.449,.260,.740,30.5,12.1,4.5,1.6,23.1,.056
18,18,LAC,Quentin Richardson,DePaul University,13,783,20785,8032,3666,1138,.397,.355,.718,26.5,10.3,4.7,1.5,32.8,.076
19,19,CHH,Jamaal Magloire,University of Kentucky,12,680,14621,4917,4408,386,.480,.000,.639,21.5,7.2,6.5,0.6,27.7,.091
20,20,PHI,Speedy Claxton,Hofstra University,7,334,8548,3096,830,1441,.409,.193,.762,25.6,9.3,2.5,4.3,14.2,.080
21,21,TOR,Morris Peterson,Michigan State University,11,711,19366,7628,2483,1090,.418,.373,.773,27.2,10.7,3.5,1.5,35.7,.089
22,22,NYK,Donnell Harvey,University of Florida,5,205,3318,1150,827,161,.460,.100,.659,16.2,5.6,4.0,0.8,4.7,.069
23,23,UTA,DeShawn Stevenson,,13,824,18396,5930,1832,1355,.406,.340,.698,22.3,7.2,2.2,1.6,12.1,.032
24,24,CHI,Dalibor Bagaric,,3,95,973,251,238,37,.361,.000,.559,10.2,2.6,2.5,0.4,-0.9,-0.043
25,25,PHO,Jake Tsakalidis,,7,315,5005,1497,1238,101,.490,.000,.657,15.9,4.8,3.9,0.3,9.9,.095
26,26,DEN,Mamadou N'Diaye,Auburn University,5,69,858,262,225,8,.427,.000,.736,12.4,3.8,3.3,0.1,1.8,.101
27,27,IND,Primoz Brezec,,8,342,6192,2452,1327,179,.498,.167,.701,18.1,7.2,3.9,0.5,10.8,.084
28,28,POR,Erick Barkley,St. John's University,2,27,266,77,21,40,.356,.267,.900,9.9,2.9,0.8,1.5,0.2,.027
29,29,LAL,Mark Madsen,Stanford University,9,453,5335,975,1157,181,.457,.063,.527,11.8,2.2,2.6,0.4,8.2,.074
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
30,30,LAC,Marko Jaric,,7,447,11246,3193,1200,1600,.404,.344,.730,25.2,7.1,2.7,3.6,12.1,.052
31,31,DAL,Dan Langhi,Vanderbilt University,4,133,1253,393,199,39,.391,.289,.613,9.4,3.0,1.5,0.3,0.3,.012
32,32,CHI,A.J. Guyton,Indiana University,3,80,1246,442,80,147,.377,.378,.822,15.6,5.5,1.0,1.8,0.3,.010
33,33,CHI,Jake Voskuhl,University of Connecticut,9,450,6443,1814,1539,237,.487,.333,.714,14.3,4.0,3.4,0.5,11.6,.087
34,34,CHI,Khalid El-Amin,University of Connecticut,1,50,936,314,81,145,.370,.333,.778,18.7,6.3,1.6,2.9,0.6,.030
35,35,WAS,Mike Smith,University of Louisiana at Monroe,1,17,180,51,22,10,.322,.167,.625,10.6,3.0,1.3,0.6,-0.1,-0.033
36,36,NJN,Soumaila Samake,,2,47,303,68,76,5,.389,,.462,6.4,1.4,1.6,0.1,0.3,.046
37,37,MIA,Eddie House,Arizona State University,11,717,12405,5356,1223,1112,.409,.390,.851,17.3,7.5,1.7,1.6,20.0,.077
38,38,HOU,Eduardo Najera,University of Oklahoma,12,619,11213,3052,2307,493,.481,.311,.671,18.1,4.9,3.7,0.8,24.7,.106
39,39,NYK,Lavor Postell,St. John's University,3,61,446,195,45,13,.335,.250,.795,7.3,3.2,0.7,0.2,-0.2,-0.025
40,40,ATL,Hanno Mottola,University of Utah,2,155,2360,715,442,75,.442,.063,.783,15.2,4.6,2.9,0.5,0.9,.019
41,41,SAS,Chris Carrawell,Duke University,,,,,,,,,,,,,,,
42,42,SEA,Olumide Oyedeji,,3,93,587,127,196,11,.495,,.659,6.3,1.4,2.1,0.1,1.2,.095
43,43,MIL,Michael Redd,Ohio State University,12,629,20104,11972,2411,1338,.447,.380,.838,32.0,19.0,3.8,2.1,55.9,.134
44,44,DET,Brian Cardinal,Purdue University,12,456,6477,2108,1050,465,.408,.372,.861,14.2,4.6,2.3,1.0,15.4,.114
45,45,SAC,Jabari Smith,Louisiana State University,4,108,1063,329,178,66,.413,.125,.690,9.8,3.0,1.6,0.6,1.3,.058
46,46,TOR,DeeAndre Hulett,College of the Sequoias,,,,,,,,,,,,,,,
47,47,SEA,Josip Sesar,,,,,,,,,,,,,,,,
48,48,PHI,Mark Karcher,Temple University,,,,,,,,,,,,,,,
49,49,MIL,Jason Hart,Syracuse University,9,341,5289,1623,567,774,.417,.315,.788,15.5,4.8,1.7,2.3,8.6,.078
50,50,UTA,Kaniel Dickens,University of Idaho,3,19,85,22,12,2,.400,.333,.750,4.5,1.2,0.6,0.1,0.1,.055
51,51,MIN,Igor Rakocevic,,1,42,244,78,17,33,.379,.417,.806,5.8,1.9,0.4,0.8,0.1,.022
52,52,MIA,Ernest Brown,Indian Hills Community College,1,3,21,3,6,0,.167,,.250,7.0,1.0,2.0,0.0,-0.2,-0.349
53,53,DEN,Dan McClintock,Northern Arizona University,1,6,58,18,17,1,.500,,.000,9.7,3.0,2.8,0.2,0.0,.007
54,54,SAS,Cory Hightower,Indian Hills Community College,,,,,,,,,,,,,,,
55,55,GSW,Chris Porter,Auburn University,1,51,1147,440,189,61,.389,.000,.667,22.5,8.6,3.7,1.2,0.2,.008
56,56,IND,Jaquay Walls,University of Colorado,,,,,,,,,,,,,,,
57,57,ATL,Scoonie Penn,Ohio State University,,,,,,,,,,,,,,,
58,58,DAL,Pete Mickeal,University of Cincinnati,,,,,,,,,,,,,,,
