
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
13,13,DAL,Kelly Olynyk,Gonzaga University,2,112,2408,1059,585,182,.477,.347,.757,21.5,9.5,5.2,1.6,5.3,.106
14,14,UTA,Shabazz Muhammad,University of California Los Angeles,2,75,1156,655,207,50,.482,.371,.703,15.4,8.7,2.8,0.7,2.5,.102
15,15,MIL,Giannis Antetokounmpo,,2,138,3741,1264,748,301,.460,.309,.715,27.1,9.2,5.4,2.2,5.9,.075
16,16,BOS,Lucas Nogueira,,1,6,23,6,11,1,.250,,.500,3.8,1.0,1.8,0.2,0.0,-0.068
17,17,ATL,Dennis Schr�der,,2,108,1747,710,178,321,.418,.313,.772,16.2,6.6,1.6,3.0,1.0,.027
18,18,ATL,Shane Larkin,University of Miami,2,102,1704,434,149,211,.406,.325,.746,16.7,4.3,1.5,2.1,1.0,.027
19,19,CLE,Sergey Karasev,,2,54,705,190,80,51,.393,.274,.792,13.1,3.5,1.5,0.9,0.6,.043
20,20,CHI,Tony Snell,University of New Mexico,2,130,2159,644,234,103,.412,.355,.787,16.6,5.0,1.8,0.8,3.5,.077
21,21,UTA,Gorgui Dieng,University of Louisville,2,120,2566,852,814,158,.495,.333,.737,21.4,7.1,6.8,1.3,6.5,.122
22,22,BRK,Mason Plumlee,Duke University,2,130,2651,1126,714,112,.617,.000,.554,20.4,8.7,5.5,0.9,8.9,.161
23,23,IND,Solomon Hill,University of Arizona,2,89,2057,618,286,148,.399,.312,.823,23.1,6.9,3.2,1.7,3.5,.081
24,24,NYK,Tim Hardaway,University of Michigan,2,140,3284,1494,253,169,.409,.349,.816,23.5,10.7,1.8,1.2,3.8,.055
25,25,LAC,Reggie Bullock,University of North Carolina,2,73,679,182,94,19,.376,.327,.786,9.3,2.5,1.3,0.3,0.5,.037
26,26,MIN,Andre Roberson,University of Colorado,2,94,1476,269,317,75,.466,.235,.500,15.7,2.9,3.4,0.8,2.9,.094
27,27,DEN,Rudy Gobert,,2,106,1855,551,650,75,.591,.000,.588,17.5,5.2,6.1,0.7,6.3,.163
28,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin,University of Kentucky,2,74,727,293,117,37,.437,.212,.702,9.8,4.0,1.6,0.5,0.4,.027
30,30,PHO,Nemanja Nedovic,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-0.132
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,CLE,Allen Crabbe,University of California,2,53,573,143,51,35,.409,.394,.846,10.8,2.7,1.0,0.7,1.2,.098
32,32,OKC,Alex Abrines,,,,,,,,,,,,,,,,
33,33,CLE,Carrick Felix,Arizona State University,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057
34,34,HOU,Isaiah Canaan,Murray State University,2,55,852,365,79,78,.392,.378,.763,15.5,6.6,1.4,1.4,1.2,.069
35,35,PHI,Glen Rice,Georgia Institute of Technology,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-0.066
36,36,SAC,Ray McCallum,University of Detroit Mercy,2,91,1653,537,173,208,.401,.314,.725,18.2,5.9,1.9,2.3,0.8,.022
37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151
38,38,WAS,Nate Wolters,South Dakota State University,2,79,1556,459,183,208,.426,.261,.635,19.7,5.8,2.3,2.6,1.0,.030
39,39,POR,Jeff Withey,University of Kansas,2,88,876,266,195,31,.516,.000,.703,10.0,3.0,2.2,0.4,2.4,.129
40,40,POR,Grant Jerrett,University of Arizona,1,6,28,7,4,1,.176,.077,,4.7,1.2,0.7,0.2,-0.2,-0.338
41,41,MEM,Jamaal Franklin,San Diego State University,1,21,161,39,23,6,.410,.455,1.000,7.7,1.9,1.1,0.3,0.0,-0.002
42,42,PHI,Pierre Jackson,Baylor University,,,,,,,,,,,,,,,
43,43,MIL,Ricky Ledo,Providence College,2,16,44,20,4,3,.261,.273,.833,2.8,1.3,0.3,0.2,-0.1,-0.162
44,44,DAL,Mike Muscala,Bucknell University,2,40,382,148,94,13,.462,.111,.962,9.6,3.7,2.4,0.3,0.8,.103
45,45,POR,Marko Todorovic,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green,Virginia Polytechnic Institute and State University,1,24,176,73,10,16,.408,.250,.857,7.3,3.0,0.4,0.7,0.0,-0.012
47,47,ATL,Raul Neto,,,,,,,,,,,,,,,,
48,48,LAL,Ryan Kelly,Duke University,2,90,1926,625,306,127,.390,.348,.812,21.4,6.9,3.4,1.4,2.1,.053
49,49,CHI,Erik Murphy,University of Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-0.055
50,50,ATL,James Ennis,California State University Long Beach,1,49,729,198,121,30,.389,.322,.855,14.9,4.0,2.5,0.6,1.1,.072
51,51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown,North Carolina State University,2,33,325,80,38,56,.301,.147,.684,9.8,2.4,1.2,1.7,-0.5,-0.067
53,53,IND,Colton Iverson,Colorado State University,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi,University of Oregon,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne,,,,,,,,,,,,,,,,
56,56,DET,Peyton Siva,University of Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-0.032
57,57,PHO,Alex Oriakhi,University of Missouri,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas,Ohio State University,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljevic,,,,,,,,,,,,,,,,
60,60,MEM,Janis Timma,,,,,,,,,,,,,,,,
