
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Anthony Bennett,University of Nevada Las Vegas,2,105,1503,491,357,60,.390,.257,.634,14.3,4.7,3.4,0.6,0.0,.000
2,2,ORL,Victor Oladipo,Indiana University,2,133,4326,2031,550,537,.435,.334,.796,32.5,15.3,4.1,4.0,4.1,.046
3,3,WAS,Otto Porter,Georgetown University,2,93,1390,413,215,62,.431,.301,.736,14.9,4.4,2.3,0.7,2.1,.071
4,4,CHA,Cody Zeller,Indiana University,2,141,2857,950,701,188,.443,.500,.749,20.3,6.7,5.0,1.3,6.5,.108
5,5,PHO,Alex Len,University of Maryland,2,102,1660,471,489,29,.505,.333,.694,16.3,4.6,4.8,0.3,3.5,.100
6,6,NOH,Nerlens Noel,University of Kentucky,1,58,1783,511,435,96,.447,,.614,30.7,8.8,7.5,1.7,2.2,.059
7,7,SAC,Ben McLemore,University of Kansas,2,142,4155,1427,410,173,.403,.338,.813,29.3,10.0,2.9,1.2,2.6,.029
8,8,DET,Kentavious Caldwell-Pope,University of Georgia,2,141,3463,1211,342,126,.396,.339,.715,24.6,8.6,2.4,0.9,3.8,.053
9,9,MIN,Trey Burke,University of Michigan,2,130,4131,1671,365,669,.377,.326,.842,31.8,12.9,2.8,5.1,2.7,.031
10,10,POR,C.J. McCollum,Lehigh University,2,79,981,397,91,57,.401,.386,.684,12.4,5.0,1.2,0.7,1.0,.047
11,11,PHI,Michael Carter-Williams,Syracuse University,2,116,3943,1838,705,770,.397,.259,.688,34.0,15.8,6.1,6.6,1.0,.012
12,12,OKC,Steven Adams,University of Pittsburgh,2,131,2413,636,682,93,.529,.000,.554,18.4,4.9,5.2,0.7,5.6,.112
