
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CHI,Derrick Rose,University of Memphis,6,335,12011,6863,1247,2185,.453,.306,.815,35.9,20.5,3.7,6.5,31.1,.124
2,2,MIA,Michael Beasley,Kansas State University,7,414,10274,5461,2025,543,.450,.348,.759,24.8,13.2,4.9,1.3,10.1,.047
3,3,MIN,O.J. Mayo,University of Southern California,7,492,15550,7119,1567,1453,.432,.378,.823,31.6,14.5,3.2,3.0,21.4,.066
4,4,SEA,Russell Westbrook,University of California Los Angeles,7,487,16496,10120,2500,3428,.433,.302,.818,33.9,20.8,5.1,7.0,50.1,.146
5,5,MEM,Kevin Love,University of California Los Angeles,7,425,14034,8023,5073,1039,.448,.362,.814,33.0,18.9,11.9,2.4,54.6,.187
6,6,NYK,Danilo Gallinari,,6,329,9877,4583,1470,592,.414,.365,.849,30.0,13.9,4.5,1.8,25.7,.125
7,7,LAC,Eric Gordon,Indiana University,7,352,12016,5967,913,1178,.439,.379,.810,34.1,17.0,2.6,3.3,19.3,.077
8,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030
9,9,CHA,D.J. Augustin,University of Texas at Austin,7,491,12218,5015,913,2024,.404,.373,.875,24.9,10.2,1.9,4.1,27.0,.106
10,10,NJN,Brook Lopez,Stanford University,7,392,12695,6940,2823,525,.508,.067,.792,32.4,17.7,7.2,1.3,34.8,.132
11,11,IND,Jerryd Bayless,University of Arizona,7,441,8937,3706,883,1274,.416,.351,.828,20.3,8.4,2.0,2.9,15.4,.083
12,12,SAC,Jason Thompson,Rider University,7,519,13827,4904,3598,576,.497,.037,.656,26.6,9.4,6.9,1.1,21.2,.073
13,13,POR,Brandon Rush,University of Kansas,7,354,8394,2736,1122,364,.433,.403,.716,23.7,7.7,3.2,1.0,8.9,.051
14,14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072
15,15,PHO,Robin Lopez,Stanford University,7,443,9275,3599,2215,219,.530,.000,.759,20.9,8.1,5.0,0.5,26.4,.137
16,16,PHI,Marreese Speights,University of Florida,7,479,7603,3813,2066,274,.471,.219,.782,15.9,8.0,4.3,0.6,18.4,.116
17,17,TOR,Roy Hibbert,Georgetown University,7,513,13327,5714,3483,748,.465,.286,.746,26.0,11.1,6.8,1.5,30.7,.111
18,18,WAS,JaVale McGee,University of Nevada Reno,7,382,7607,3222,2107,135,.540,.200,.587,19.9,8.4,5.5,0.4,18.6,.118
19,19,CLE,J.J. Hickson,North Carolina State University,7,480,11106,4744,3390,414,.507,.000,.632,23.1,9.9,7.1,0.9,20.8,.090
20,20,CHA,Alexis Ajinca,,5,175,2159,867,615,81,.523,.324,.793,12.3,5.0,3.5,0.5,5.0,.111
21,21,NJN,Ryan Anderson,University of California,7,409,10395,5141,2265,359,.424,.380,.858,25.4,12.6,5.5,0.9,33.2,.153
22,22,ORL,Courtney Lee,Western Kentucky University,7,502,13518,4852,1312,782,.452,.388,.848,26.9,9.7,2.6,1.6,25.8,.092
23,23,UTA,Kosta Koufos,Ohio State University,7,403,6126,2163,1854,148,.528,.000,.616,15.2,5.4,4.6,0.4,16.6,.130
24,24,SEA,Serge Ibaka,,6,444,12532,5035,3331,240,.533,.375,.744,28.2,11.3,7.5,0.5,42.3,.162
25,25,HOU,Nicolas Batum,,7,463,14252,5222,2314,1359,.446,.360,.833,30.8,11.3,5.0,2.9,36.1,.121
26,26,SAS,George Hill,Indiana University-Purdue University Indianapolis,7,455,12580,4927,1363,1419,.447,.371,.806,27.6,10.8,3.0,3.1,38.6,.147
27,27,NOH,Darrell Arthur,University of Kansas,6,366,6556,2420,1333,254,.444,.282,.763,17.9,6.6,3.6,0.7,9.1,.067
28,28,MEM,Donte Greene,Syracuse University,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017
29,29,DET,D.J. White,Indiana University,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087
30,30,BOS,J.R. Giddens,University of New Mexico,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,MIN,Nikola Pekovic,,5,256,6531,3328,1767,187,.522,,.760,25.5,13.0,6.9,0.7,19.0,.139
32,32,SEA,Walter Sharpe,University of Alabama at Birmingham,1,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-0.131
33,33,POR,Joey Dorsey,University of Memphis,4,110,1199,277,421,46,.523,,.405,10.9,2.5,3.8,0.4,2.2,.090
34,34,MIN,Mario Chalmers,University of Kansas,7,499,13925,4438,1221,1925,.423,.363,.775,27.9,8.9,2.4,3.9,27.3,.094
35,35,LAC,DeAndre Jordan,Texas A&amp;M University,7,495,12758,3886,4317,230,.661,.000,.421,25.8,7.9,8.7,0.5,40.4,.152
36,36,POR,Omer Asik,,5,336,6902,1964,2562,215,.530,.000,.555,20.5,5.8,7.6,0.6,16.9,.117
37,37,MIL,Luc Mbah a Moute,University of California Los Angeles,7,453,10980,3066,2210,437,.450,.290,.667,24.2,6.8,4.9,1.0,18.2,.079
38,38,CHA,Kyle Weaver,Washington State University,3,73,1379,363,158,119,.441,.353,.736,18.9,5.0,2.2,1.6,1.5,.051
39,39,CHI,Sonny Weems,University of Arkansas,3,140,2836,1082,349,208,.474,.241,.717,20.3,7.7,2.5,1.5,0.6,.010
40,40,NJN,Chris Douglas-Roberts,University of Memphis,6,222,4381,1571,472,254,.439,.329,.831,19.7,7.1,2.1,1.1,5.4,.059
41,41,IND,Nathan Jawai,,2,45,431,126,106,24,.435,.000,.684,9.6,2.8,2.4,0.5,0.2,.020
42,42,SAC,Sean Singletary,University of Virginia,1,37,303,90,35,29,.365,.400,.857,8.2,2.4,0.9,0.8,0.0,.006
43,43,SAC,Patrick Ewing,Georgetown University,1,7,19,3,2,2,.000,.000,.750,2.7,0.4,0.3,0.3,-0.1,-0.158
