
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
44,44,UTA,Ante Tomic,,,,,,,,,,,,,,,,
45,45,SAS,Goran Dragic,,7,484,12397,5827,1280,2175,.468,.363,.748,25.6,12.0,2.6,4.5,30.1,.117
46,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,
47,47,WAS,Bill Walker,Kansas State University,5,164,2570,967,340,130,.457,.370,.754,15.7,5.9,2.1,0.8,4.4,.082
48,48,PHO,Malik Hairston,University of Oregon,2,62,472,149,77,29,.512,.167,.514,7.6,2.4,1.2,0.5,0.8,.086
49,49,GSW,Richard Hendrix,University of Alabama,,,,,,,,,,,,,,,
50,50,SEA,DeVon Hardin,University of California,,,,,,,,,,,,,,,
51,51,DAL,Shan Foster,Vanderbilt University,,,,,,,,,,,,,,,
52,52,MIA,Darnell Jackson,University of Kansas,3,138,1039,308,203,26,.449,.235,.644,7.5,2.2,1.5,0.2,1.3,.059
53,53,UTA,Tadija Dragicevic,,,,,,,,,,,,,,,,
54,54,HOU,Maarty Leunen,University of Oregon,,,,,,,,,,,,,,,
55,55,POR,Mike Taylor,Iowa State University,1,51,771,289,87,106,.412,.325,.691,15.1,5.7,1.7,2.1,-0.4,-0.028
56,56,SEA,Sasha Kaun,University of Kansas,,,,,,,,,,,,,,,
57,57,SAS,James Gist,University of Maryland,,,,,,,,,,,,,,,
58,58,LAL,Joe Crawford,University of Kentucky,1,2,23,9,4,1,.300,.250,1.000,11.5,4.5,2.0,0.5,0.0,.037
59,59,DET,Deron Washington,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,
60,60,BOS,Semih Erden,,2,69,928,262,190,29,.546,,.594,13.4,3.8,2.8,0.4,1.8,.094
