
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,ORL,Dwight Howard,,11,800,28618,14550,10234,1219,.579,.104,.573,35.8,18.2,12.8,1.5,105.8,.178
2,2,CHA,Emeka Okafor,University of Connecticut,9,590,18702,7256,5847,512,.512,.000,.584,31.7,12.3,9.9,0.9,44.3,.114
3,3,CHI,Ben Gordon,University of Connecticut,11,738,20286,11048,1841,1860,.432,.402,.857,27.5,15.0,2.5,2.5,33.3,.079
4,4,LAC,Shaun Livingston,,10,524,11790,3568,1365,1769,.471,.196,.796,22.5,6.8,2.6,3.4,18.0,.073
5,5,WAS,Devin Harris,University of Wisconsin,11,702,18888,8527,1630,3305,.436,.321,.798,26.9,12.1,2.3,4.7,45.6,.116
6,6,ATL,Josh Childress,Stanford University,8,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118
7,7,PHO,Luol Deng,Duke University,11,731,26036,11645,4553,1772,.459,.334,.772,35.6,15.9,6.2,2.4,64.9,.120
8,8,TOR,Rafael Araujo,Brigham Young University,3,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-0.013
9,9,PHI,Andre Iguodala,University of Arizona,11,815,29582,11474,4504,3852,.461,.333,.717,36.3,14.1,5.5,4.7,76.2,.124
10,10,CLE,Luke Jackson,University of Oregon,4,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010
11,11,GSW,Andris Biedrins,,10,516,11146,3247,3631,467,.594,.000,.500,21.6,6.3,7.0,0.9,30.7,.132
12,12,SEA,Robert Swift,,4,97,1500,416,376,20,.506,,.610,15.5,4.3,3.9,0.2,1.7,.054
13,13,POR,Sebastian Telfair,,10,564,12149,4183,898,1960,.390,.319,.777,21.5,7.4,1.6,3.5,5.0,.020
14,14,UTA,Kris Humphries,University of Minnesota,11,683,12555,4695,3849,482,.470,.087,.691,18.4,6.9,5.6,0.7,26.6,.102
15,15,BOS,Al Jefferson,,11,752,23404,12795,6875,1168,.499,.131,.711,31.1,17.0,9.1,1.6,63.8,.131
16,16,UTA,Kirk Snyder,University of Nevada Reno,4,211,3540,1333,491,241,.438,.327,.699,16.8,6.3,2.3,1.1,4.5,.061
17,17,ATL,Josh Smith,,11,816,27595,12413,6346,2647,.456,.282,.635,33.8,15.2,7.8,3.2,50.3,.088
18,18,NOH,J.R. Smith,,11,745,19649,9865,2427,1682,.423,.370,.737,26.4,13.2,3.3,2.3,37.3,.091
19,19,MIA,Dorell Wright,,11,535,12057,4513,2051,837,.425,.366,.806,22.5,8.4,3.8,1.6,25.4,.101
20,20,DEN,Jameer Nelson,Saint Joseph's University,11,700,20145,8532,2151,3716,.439,.370,.813,28.8,12.2,3.1,5.3,43.8,.104
21,21,UTA,Pavel Podkolzin,,2,6,28,4,9,0,.000,,.500,4.7,0.7,1.5,0.0,-0.1,-0.163
22,22,NJN,Viktor Khryapa,,4,143,2351,643,492,142,.443,.292,.658,16.4,4.5,3.4,1.0,2.0,.041
23,23,POR,Sergei Monia,,1,26,343,77,52,19,.333,.265,.714,13.2,3.0,2.0,0.7,-0.2,-0.025
24,24,BOS,Delonte West,Saint Joseph's University,8,432,11842,4198,1265,1540,.448,.372,.826,27.4,9.7,2.9,3.6,24.5,.099
25,25,BOS,Tony Allen,Oklahoma State University,11,652,13923,5264,2081,887,.478,.263,.727,21.4,8.1,3.2,1.4,32.1,.111
26,26,SAC,Kevin Martin,Western Carolina University,11,644,19960,11584,2121,1255,.442,.385,.869,31.0,18.0,3.3,1.9,59.7,.143
27,27,LAL,Sasha Vujacic,,8,478,7592,2674,885,612,.395,.371,.870,15.9,5.6,1.9,1.3,14.8,.093
28,28,SAS,Beno Udrih,,11,727,16466,6341,1531,2554,.463,.347,.828,22.6,8.7,2.1,3.5,28.7,.084
29,29,IND,David Harrison,University of Colorado,4,189,2686,949,549,47,.530,,.525,14.2,5.0,2.9,0.2,3.2,.057
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
30,30,ORL,Anderson Varejao,,11,560,14463,4405,4343,689,.514,.024,.630,25.8,7.9,7.8,1.2,45.1,.150
