
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
31,31,CHI,Jackson Vroman,Iowa State University,2,87,1111,285,261,51,.408,.000,.580,12.8,3.3,3.0,0.6,0.0,.001
32,32,WAS,Peter John Ramos,,1,6,20,11,4,0,.500,,.500,3.3,1.8,0.7,0.0,0.0,-0.108
33,33,LAC,Lionel Chalmers,Xavier University,1,36,433,111,31,51,.336,.245,.625,12.0,3.1,0.9,1.4,-0.2,-0.025
34,34,ATL,Donta Smith,Southeastern Illinois College,2,61,560,165,66,48,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,.043
35,35,SEA,Andre Emmett,Texas Tech University,2,14,73,20,8,1,.462,.000,.615,5.2,1.4,0.6,0.1,0.1,.040
36,36,ORL,Antonio Burks,University of Memphis,2,81,789,186,49,104,.387,.235,.571,9.7,2.3,0.6,1.3,0.1,.004
37,37,ATL,Royal Ivey,University of Texas at Austin,10,492,6162,1641,557,501,.406,.361,.706,12.5,3.3,1.1,1.0,4.5,.035
38,38,CHI,Chris Duhon,Duke University,9,606,15526,3946,1364,2690,.393,.363,.784,25.6,6.5,2.3,4.4,25.0,.077
39,39,TOR,Albert Miralles,,,,,,,,,,,,,,,,
40,40,BOS,Justin Reed,University of Mississippi,3,136,1436,472,186,68,.404,.000,.752,10.6,3.5,1.4,0.5,0.5,.016
41,41,SEA,David Young,North Carolina Central University,,,,,,,,,,,,,,,
42,42,ATL,Viktor Sanikidze,,,,,,,,,,,,,,,,
43,43,NYK,Trevor Ariza,University of California Los Angeles,11,694,19193,6903,3272,1425,.428,.343,.707,27.7,9.9,4.7,2.1,38.6,.097
44,44,NOH,Tim Pickett,Florida State University,,,,,,,,,,,,,,,
45,45,CHA,Bernard Robinson,University of Michigan,3,128,1909,576,315,126,.417,.161,.786,14.9,4.5,2.5,1.0,2.0,.049
46,46,POR,Ha Seung-Jin,,2,46,316,70,67,3,.519,,.500,6.9,1.5,1.5,0.1,-0.2,-0.029
47,47,MIA,Pape Sow,California State University Fullerton,3,76,879,219,214,12,.416,,.678,11.6,2.9,2.8,0.2,0.8,.044
48,48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,
49,49,MEM,Sergei Lishouk,,,,,,,,,,,,,,,,
50,50,DAL,Vassilis Spanoulis,,1,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-0.010
51,51,NJN,Christian Drejer,University of Florida,,,,,,,,,,,,,,,
52,52,SAS,Romain Sato,Xavier University,,,,,,,,,,,,,,,
53,53,MIA,Matt Freije,Vanderbilt University,2,42,588,133,85,27,.293,.224,.714,14.0,3.2,2.0,0.6,-0.6,-0.047
54,54,DET,Rickey Paulding,University of Missouri,,,,,,,,,,,,,,,
55,55,HOU,Luis Flores,Manhattan College,1,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-0.020
56,56,LAL,Marcus Douthit,Providence College,,,,,,,,,,,,,,,
57,57,SAS,Sergei Karaulov,,,,,,,,,,,,,,,,
58,58,MIN,Blake Stepp,Gonzaga University,,,,,,,,,,,,,,,
59,59,IND,Rashad Wright,University of Georgia,,,,,,,,,,,,,,,
