
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,LeBron James,,12,895,35199,24555,6390,6178,.496,.341,.746,39.3,27.4,7.1,6.9,176.1,.240
2,2,DET,Darko Milicic,,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040
3,3,DEN,Carmelo Anthony,Syracuse University,12,830,30266,20924,5437,2545,.455,.345,.811,36.5,25.2,6.6,3.1,86.1,.137
4,4,TOR,Chris Bosh,Georgia Institute of Technology,12,840,30158,16179,7202,1667,.495,.326,.799,35.9,19.3,8.6,2.0,99.6,.159
5,5,MIA,Dwyane Wade,Marquette University,12,762,27697,18372,3767,4531,.491,.288,.765,36.3,24.1,4.9,5.9,107.9,.187
6,6,LAC,Chris Kaman,Central Michigan University,12,702,19266,8021,5450,897,.487,.000,.743,27.4,11.4,7.8,1.3,23.6,.059
7,7,CHI,Kirk Hinrich,University of Kansas,12,818,26107,9396,2482,4146,.412,.374,.800,31.9,11.5,3.0,5.1,51.6,.095
8,8,MIL,T.J. Ford,University of Texas at Austin,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068
9,9,NYK,Mike Sweetney,Georgetown University,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103
10,10,WAS,Jarvis Hayes,University of Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049
11,11,GSW,Mickael Pietrus,,10,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079
12,12,SEA,Nick Collison,University of Kansas,11,805,17507,5122,4441,853,.535,.189,.728,21.7,6.4,5.5,1.1,42.8,.117
13,13,MEM,Marcus Banks,University of Nevada Las Vegas,8,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057
14,14,SEA,Luke Ridnour,University of Oregon,12,819,21434,7685,1865,3690,.431,.349,.862,26.2,9.4,2.3,4.5,35.9,.080
15,15,ORL,Reece Gaines,University of Louisville,3,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-0.049
16,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-0.326
17,17,PHO,Zarko Cabarkapa,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035
18,18,NOH,David West,Xavier University,12,795,25342,12478,5722,1774,.490,.254,.823,31.9,15.7,7.2,2.2,73.2,.139
19,19,UTA,Sasha Pavlovic,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038
20,20,BOS,Dahntay Jones,Duke University,11,606,9700,3326,1070,526,.440,.331,.752,16.0,5.5,1.8,0.9,9.8,.049
21,21,ATL,Boris Diaw,,12,894,25586,8094,4152,3281,.494,.341,.712,28.6,9.1,4.6,3.7,45.5,.085
22,22,NJN,Zoran Planinic,,3,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046
23,23,POR,Travis Outlaw,,11,622,13026,5273,1974,514,.423,.337,.744,20.9,8.5,3.2,0.8,16.5,.061
24,24,LAL,Brian Cook,University of Illinois at Urbana-Champaign,9,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086
25,25,DET,Carlos Delfino,,8,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093
26,26,MIN,Ndudi Ebi,,2,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051
27,27,MEM,Kendrick Perkins,,12,731,16467,4083,4369,773,.530,.000,.598,22.5,5.6,6.0,1.1,28.2,.082
28,28,SAS,Leandro Barbosa,,12,696,15992,8034,1466,1565,.460,.389,.818,23.0,11.5,2.1,2.2,33.7,.101
29,29,DAL,Josh Howard,Wake Forest University,10,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119
