Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
45,45,CHH,Dwight Powell,Stanford University,1,23,193,76,40,7,0.54,0.5,0.741,8.4,3.3,1.7,0.3,0.7,0.175
46,46,WAS,Jordan Clarkson,University of Missouri,1,38,762,336,88,82,0.423,0.318,0.817,20.1,8.8,2.3,2.2,0.9,0.056
47,47,PHI,Russ Smith,University of Louisville,1,7,33,10,3,3,0.25,0.167,0.75,4.7,1.4,0.4,0.4,-0.2,-0.315
48,48,MIL,Lamar Patterson,University of Pittsburgh,,,,,,,,,,,,,,,
49,49,CHI,Cameron Bairstow,University of New Mexico,1,14,58,10,8,1,0.214,,0.8,4.1,0.7,0.6,0.1,-0.1,-0.054
50,50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,,,,,,,,,,,,,,,
52,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier University,,,,,,,,,,,,,,,
56,56,DEN,Roy Devyn Marble,University of Iowa,1,16,208,37,31,17,0.318,0.182,0.313,13,2.3,1.9,1.1,-0.1,-0.031
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,University of Tennessee,,,,,,,,,,,,,,,
59,59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor University,1,33,338,111,85,11,0.438,0.182,0.567,10.2,3.4,2.6,0.3,0.5,0.066
