
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,WAS,Kwame Brown,,12,607,13389,4035,3333,554,.492,.111,.570,22.1,6.6,5.5,0.9,20.8,.074
2,2,LAC,Tyson Chandler,,14,903,25954,7968,8373,761,.590,.000,.645,28.7,8.8,9.3,0.8,87.1,.161
3,3,ATL,Pau Gasol,,14,964,34277,17653,9047,3145,.513,.263,.753,35.6,18.3,9.4,3.3,120.9,.169
4,4,CHI,Eddy Curry,,11,527,13109,6820,2725,287,.545,1.000,.642,24.9,12.9,5.2,0.5,21.7,.080
5,5,GSW,Jason Richardson,Michigan State University,13,845,29006,14553,4209,2261,.439,.371,.708,34.3,17.2,5.0,2.7,58.9,.098
6,6,MEM,Shane Battier,Duke University,13,977,30004,8408,4082,1717,.437,.384,.743,30.7,8.6,4.2,1.8,75.7,.121
7,7,NJN,Eddie Griffin,Seton Hall University,5,303,6729,2171,1744,236,.377,.315,.671,22.2,7.2,5.8,0.8,10.9,.078
8,8,CLE,DeSagana Diop,,12,601,8403,1185,2219,270,.427,.167,.467,14.0,2.0,3.7,0.4,12.8,.073
9,9,DET,Rodney White,University of North Carolina at Charlotte,4,218,3354,1540,485,237,.424,.314,.749,15.4,7.1,2.2,1.1,1.8,.026
10,10,BOS,Joe Johnson,University of Arkansas,14,1040,37738,18051,4252,4365,.443,.372,.800,36.3,17.4,4.1,4.2,74.3,.094
11,11,BOS,Kedrick Brown,Okaloosa-Walton Community College,4,143,1935,509,347,103,.405,.274,.640,13.5,3.6,2.4,0.7,3.0,.074
12,12,SEA,Vladimir Radmanovic,,12,737,16164,5879,2784,998,.415,.378,.758,21.9,8.0,3.8,1.4,26.5,.079
13,13,HOU,Richard Jefferson,University of Arizona,14,992,30930,13908,4344,2246,.465,.379,.771,31.2,14.0,4.4,2.3,77.6,.120
14,14,GSW,Troy Murphy,University of Notre Dame,12,729,19921,7860,5708,1088,.445,.388,.785,27.3,10.8,7.8,1.5,50.3,.121
15,15,ORL,Steven Hunter,DePaul University,8,400,5993,1817,1264,79,.560,.000,.485,15.0,4.5,3.2,0.2,10.6,.085
16,16,CHH,Kirk Haston,Indiana University,2,27,134,32,27,8,.232,.000,.500,5.0,1.2,1.0,0.3,-0.5,-0.197
17,17,TOR,Michael Bradley,Villanova University,5,173,2016,483,591,93,.477,.143,.511,11.7,2.8,3.4,0.5,2.0,.047
18,18,HOU,Jason Collins,Stanford University,13,735,14974,2621,2706,626,.411,.206,.647,20.4,3.6,3.7,0.9,20.1,.064
19,19,POR,Zach Randolph,Michigan State University,14,896,28671,15358,8530,1599,.473,.263,.762,32.0,17.1,9.5,1.8,70.5,.118
20,20,CLE,Brendan Haywood,University of North Carolina,13,815,18665,5533,4874,442,.528,.000,.587,22.9,6.8,6.0,0.5,43.8,.113
21,21,BOS,Joseph Forte,University of North Carolina,2,25,125,30,17,17,.234,.000,.800,5.0,1.2,0.7,0.7,-0.4,-0.166
22,22,ORL,Jeryl Sasser,Southern Methodist University,2,82,1061,204,191,67,.303,.295,.687,12.9,2.5,2.3,0.8,0.7,.032
23,23,HOU,Brandon Armstrong,Pepperdine University,3,108,699,239,63,24,.352,.333,.600,6.5,2.2,0.6,0.2,-0.6,-0.039
24,24,UTA,Raul Lopez,,2,113,2135,733,194,428,.429,.346,.853,18.9,6.5,1.7,3.8,2.1,.047
25,25,SAC,Gerald Wallace,University of Alabama,14,826,24654,9919,4816,1718,.469,.312,.710,29.8,12.0,5.8,2.1,59.6,.116
26,26,PHI,Samuel Dalembert,Seton Hall University,13,886,21646,6814,6942,465,.521,.083,.706,24.4,7.7,7.8,0.5,51.3,.114
27,27,MEM,Jamaal Tinsley,Iowa State University,11,547,14443,4652,1605,3330,.393,.299,.716,26.4,8.5,2.9,6.1,17.2,.057
28,28,SAS,Tony Parker,,14,987,32038,16714,2888,5863,.493,.324,.754,32.5,16.9,2.9,5.9,98.3,.147
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
29,29,CHI,Trenton Hassell,Austin Peay State University,9,644,16278,3741,1826,1132,.445,.318,.765,25.3,5.8,2.8,1.8,13.8,.041
30,30,GSW,Gilbert Arenas,University of Arizona,11,552,19351,11402,2168,2909,.421,.351,.803,35.1,20.7,3.9,5.3,51.3,.127
31,31,ORL,Omar Cook,St. John's University,2,22,213,37,13,46,.333,.000,.500,9.7,1.7,0.6,2.1,-0.1,-0.021
32,32,MEM,Will Solomon,Clemson University,2,115,1584,584,132,225,.378,.298,.692,13.8,5.1,1.1,2.0,0.0,.000
33,33,ATL,Terence Morris,University of Maryland,3,139,1934,472,377,93,.407,.196,.711,13.9,3.4,2.7,0.7,1.0,.025
34,34,NJN,Brian Scalabrine,University of Southern California,11,520,6772,1594,1034,436,.390,.344,.783,13.0,3.1,2.0,0.8,7.6,.054
35,35,CLE,Jeff Trepagnier,University of Southern California,3,31,270,88,43,22,.337,.462,.700,8.7,2.8,1.4,0.7,-0.2,-0.038
36,36,PHI,Damone Brown,Syracuse University,4,39,351,108,52,19,.336,.286,.667,9.0,2.8,1.3,0.5,-0.7,-0.100
37,37,DET,Mehmet Okur,,10,634,18429,8561,4436,1089,.458,.375,.797,29.1,13.5,7.0,1.7,54.7,.142
38,38,NYK,Michael Wright,University of Arizona,,,,,,,,,,,,,,,
39,39,SEA,Earl Watson,University of California Los Angeles,13,878,19494,5593,1985,3871,.411,.324,.703,22.2,6.4,2.3,4.4,19.2,.047
40,40,IND,Jamison Brewer,Auburn University,4,54,468,89,50,56,.372,.250,.393,8.7,1.6,0.9,1.0,0.0,-0.001
41,41,SEA,Bobby Simmons,DePaul University,10,466,11513,4189,1791,710,.437,.396,.823,24.7,9.0,3.8,1.5,20.1,.084
42,42,NYK,Eric Chenowith,University of Kansas,,,,,,,,,,,,,,,
43,43,DAL,Kyle Hill,Eastern Illinois University,,,,,,,,,,,,,,,
44,44,CHI,Sean Lampley,University of California,2,45,550,203,94,33,.463,.000,.691,12.2,4.5,2.1,0.7,1.1,.096
45,45,MIN,Loren Woods,University of Arizona,6,215,2428,555,682,74,.419,.143,.642,11.3,2.6,3.2,0.3,3.1,.062
46,46,DEN,Ousmane Cisse,,,,,,,,,,,,,,,,
47,47,MEM,Antonis Fotsis,,1,28,320,108,62,10,.404,.304,.850,11.4,3.9,2.2,0.4,0.1,.017
48,48,MIA,Ken Johnson,Ohio State University,1,16,156,32,32,0,.405,,.333,9.8,2.0,2.0,0.0,0.0,-0.002
49,49,POR,Ruben Boumtje-Boumtje,Georgetown University,3,44,276,43,57,6,.368,,.556,6.3,1.0,1.3,0.1,0.2,.027
50,50,PHO,Alton Ford,University of Houston,3,73,524,186,124,11,.507,,.697,7.2,2.5,1.7,0.2,0.8,.074
51,51,MIL,Andre Hutson,Michigan State University,,,,,,,,,,,,,,,
52,52,UTA,Jarron Collins,Stanford University,10,542,8542,2095,1579,419,.455,.000,.699,15.8,3.9,2.9,0.8,15.7,.088
53,53,DAL,Kenny Satterfield,University of Cincinnati,2,75,1062,321,95,176,.335,.218,.746,14.2,4.3,1.3,2.3,-1.1,-0.051
54,54,SAC,Maurice Jeffers,Saint Louis University,,,,,,,,,,,,,,,
55,55,SAS,Robertas Javtokas,,,,,,,,,,,,,,,,
56,56,PHI,Alvin Jones,Georgia Institute of Technology,1,23,126,26,36,3,.400,,.500,5.5,1.1,1.6,0.1,0.1,.034
57,57,SAS,Bryan Bracey,University of Oregon,,,,,,,,,,,,,,,
