
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Kyrie Irving,Duke University,4,240,8301,5024,853,1367,.452,.383,.862,34.6,20.9,3.6,5.7,24.1,.139
2,2,MIN,Derrick Williams,University of Arizona,4,274,6075,2510,1199,167,.428,.299,.704,22.2,9.2,4.4,0.6,8.7,.069
3,3,UTA,Enes Kanter,,4,272,5615,2568,1626,151,.503,.318,.742,20.6,9.4,6.0,0.6,9.5,.082
4,4,CLE,Tristan Thompson,University of Texas at Austin,4,288,8359,2979,2438,238,.485,.000,.633,29.0,10.3,8.5,0.8,17.5,.101
5,5,TOR,Jonas Valanciunas,,3,204,5370,2205,1616,126,.548,.000,.782,26.3,10.8,7.9,0.6,17.1,.152
6,6,WAS,Jan Vesely,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078
7,7,SAC,Bismack Biyombo,,4,262,5437,1121,1567,77,.495,,.509,20.8,4.3,6.0,0.3,7.4,.066
8,8,DET,Brandon Knight,University of Kentucky,4,273,8859,4181,950,1227,.418,.365,.797,32.5,15.3,3.5,4.5,9.8,.053
9,9,CHA,Kemba Walker,University of Connecticut,4,263,8760,4332,981,1427,.398,.322,.812,33.3,16.5,3.7,5.4,14.1,.077
10,10,MIL,Jimmer Fredette,Brigham Young University,4,223,3071,1391,229,314,.413,.381,.875,13.8,6.2,1.0,1.4,2.5,.039
11,11,GSW,Klay Thompson,Washington State University,4,288,9339,4951,912,674,.441,.415,.841,32.4,17.2,3.2,2.3,19.3,.099
12,12,UTA,Alec Burks,University of Colorado,4,228,5168,2339,648,441,.436,.356,.751,22.7,10.3,2.8,1.9,7.2,.067
13,13,PHO,Markieff Morris,University of Kansas,4,289,7167,3211,1532,453,.448,.329,.758,24.8,11.1,5.3,1.6,12.9,.086
14,14,HOU,Marcus Morris,University of Kansas,4,239,4921,2080,868,240,.435,.372,.671,20.6,8.7,3.6,1.0,9.0,.088
15,15,IND,Kawhi Leonard,San Diego State University,4,231,6626,2701,1402,403,.492,.364,.796,28.7,11.7,6.1,1.7,24.4,.177
16,16,PHI,Nikola Vucevic,University of Southern California,4,241,7113,3207,2418,380,.513,.357,.728,29.5,13.3,10.0,1.6,17.7,.119
17,17,NYK,Iman Shumpert,Georgia Institute of Technology,4,223,5765,1724,779,475,.396,.343,.756,25.9,7.7,3.5,2.1,7.2,.060
18,18,WAS,Chris Singleton,Florida State University,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042
19,19,CHA,Tobias Harris,University of Tennessee,4,211,5461,2596,1153,278,.461,.315,.790,25.9,12.3,5.5,1.3,10.9,.096
20,20,MIN,Donatas Motiejunas,,3,168,3218,1310,691,168,.478,.304,.608,19.2,7.8,4.1,1.0,6.0,.090
21,21,POR,Nolan Smith,Duke University,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-0.047
22,22,DEN,Kenneth Faried,Morehead State University,4,263,7018,3146,2267,281,.541,.125,.646,26.7,12.0,8.6,1.1,22.6,.154
23,23,HOU,Nikola Mirotic,,1,63,1137,514,286,65,.393,.325,.778,18.0,8.2,4.5,1.0,3.7,.157
24,24,OKC,Reggie Jackson,Boston College,4,251,5366,2297,762,782,.428,.286,.875,21.4,9.2,3.0,3.1,10.7,.096
25,25,BOS,MarShon Brooks,Providence College,3,164,2876,1261,358,232,.442,.326,.748,17.5,7.7,2.2,1.4,2.5,.041
26,26,DAL,Jordan Hamilton,University of Texas at Austin,4,130,1720,740,357,96,.405,.360,.671,13.2,5.7,2.7,0.7,2.7,.076
27,27,NJN,JaJuan Johnson,Purdue University,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032
28,28,CHI,Norris Cole,Cleveland State University,4,282,6227,1786,503,739,.406,.314,.724,22.1,6.3,1.8,2.6,2.4,.019
29,29,SAS,Cory Joseph,University of Texas at Austin,4,183,2813,985,334,350,.474,.306,.777,15.4,5.4,1.8,1.9,7.5,.128
30,30,CHI,Jimmy Butler,Marquette University,4,246,7225,2802,1040,483,.439,.323,.805,29.4,11.4,4.2,2.0,24.6,.163
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,MIA,Bojan Bogdanovic,,1,56,1278,436,157,42,.417,.313,.831,22.8,7.8,2.8,0.8,1.3,.048
32,32,CLE,Justin Harper,University of Richmond,1,14,84,20,12,2,.290,.154,.000,6.0,1.4,0.9,0.1,-0.3,-0.145
33,33,DET,Kyle Singler,Duke University,3,226,6077,1925,790,225,.427,.378,.819,26.9,8.5,3.5,1.0,8.6,.068
34,34,WAS,Shelvin Mack,Butler University,4,204,3154,1076,341,559,.412,.329,.774,15.5,5.3,1.7,2.7,3.9,.060
35,35,SAC,Tyler Honeycutt,University of California Los Angeles,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-0.049
36,36,NJN,Jordan Williams,University of Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101
37,37,LAC,Trey Thompkins,University of Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004
38,38,HOU,Chandler Parsons,University of Florida,4,267,9131,3834,1374,830,.468,.371,.713,34.2,14.4,5.1,3.1,22.6,.119
39,39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014
40,40,MIL,Jon Leuer,University of Wisconsin,4,178,2155,847,511,97,.479,.375,.690,12.1,4.8,2.9,0.5,5.0,.111
41,41,LAL,Darius Morris,University of Michigan,4,123,1422,426,121,179,.392,.329,.630,11.6,3.5,1.0,1.5,-0.1,-0.003
42,42,IND,Davis Bertans,,,,,,,,,,,,,,,,
43,43,CHI,Malcolm Lee,University of California Los Angeles,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040
44,44,GSW,Charles Jenkins,Hofstra University,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017
45,45,NOH,Josh Harrellson,University of Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116
46,46,LAL,Andrew Goudelock,College of Charleston,2,41,425,175,32,20,.386,.373,.917,10.4,4.3,0.8,0.5,0.1,.008
47,47,LAC,Travis Leslie,University of Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060
48,48,ATL,Keith Benson,Oakland University,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-0.005
49,49,MEM,Josh Selby,University of Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-0.113
50,50,PHI,Lavoy Allen,Temple University,4,231,4281,1211,1157,239,.463,.143,.701,18.5,5.2,5.0,1.0,8.5,.095
51,51,POR,Jon Diebler,Ohio State University,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin,University of Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161
53,53,ORL,DeAndre Liggins,University of Kentucky,3,57,406,93,69,20,.466,.304,.486,7.1,1.6,1.2,0.4,0.6,.071
54,54,CLE,Milan Macvan,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore,Purdue University,4,233,3848,1296,370,371,.412,.350,.770,16.5,5.6,1.6,1.6,2.9,.036
56,56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,
57,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok,,,,,,,,,,,,,,,,
59,59,SAS,Adam Hanga,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas,University of Washington,4,270,7671,4183,669,1248,.443,.365,.860,28.4,15.5,2.5,4.6,21.8,.136
