
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,WAS,John Wall,University of Kentucky,5,328,11786,5753,1417,2826,.430,.301,.786,35.9,17.5,4.3,8.6,24.3,.099
2,2,PHI,Evan Turner,Ohio State University,5,366,10452,3922,1905,1251,.424,.320,.770,28.6,10.7,5.2,3.4,9.1,.042
3,3,NJN,Derrick Favors,Georgia Institute of Technology,5,350,8679,3716,2490,335,.514,.000,.658,24.8,10.6,7.1,1.0,21.9,.121
4,4,MIN,Wesley Johnson,Syracuse University,5,330,8370,2761,1107,461,.410,.351,.762,25.4,8.4,3.4,1.4,5.5,.032
5,5,SAC,DeMarcus Cousins,University of Kentucky,5,337,10402,6280,3530,861,.462,.172,.730,30.9,18.6,10.5,2.6,22.0,.102
6,6,GSW,Ekpe Udoh,Baylor University,5,263,4532,1063,855,178,.428,.000,.721,17.2,4.0,3.3,0.7,5.7,.060
7,7,DET,Greg Monroe,Georgetown University,5,368,11502,5240,3397,827,.505,.000,.690,31.3,14.2,9.2,2.2,30.9,.129
8,8,LAC,Al-Farouq Aminu,Wake Forest University,5,361,8034,2295,1894,383,.440,.287,.732,22.3,6.4,5.2,1.1,10.8,.064
9,9,UTA,Gordon Hayward,Butler University,5,348,10269,4623,1284,1158,.440,.367,.813,29.5,13.3,3.7,3.3,21.7,.101
10,10,IND,Paul George,California State University Fresno,4,286,9093,4388,1739,833,.428,.360,.828,31.8,15.3,6.1,2.9,28.2,.149
11,11,NOH,Cole Aldrich,University of Kansas,5,177,1677,480,535,73,.511,,.788,9.5,2.7,3.0,0.4,3.7,.107
12,12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013
13,13,TOR,Ed Davis,University of North Carolina,5,336,7196,2403,2073,264,.555,.000,.578,21.4,7.2,6.2,0.8,20.9,.139
14,14,HOU,Patrick Patterson,University of Kentucky,5,313,7268,2616,1490,359,.481,.378,.735,23.2,8.4,4.8,1.1,16.9,.111
15,15,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,.480,.000,.550,19.8,6.5,5.8,0.7,10.4,.108
16,16,MIN,Luke Babbitt,University of Nevada Reno,5,204,2595,874,453,99,.398,.400,.727,12.7,4.3,2.2,0.5,3.3,.061
17,17,CHI,Kevin Seraphin,,5,306,5035,1974,1118,162,.490,.000,.718,16.5,6.5,3.7,0.5,4.6,.044
18,18,OKC,Eric Bledsoe,University of Kentucky,5,302,7396,3148,1057,1193,.449,.331,.778,24.5,10.4,3.5,4.0,14.5,.094
19,19,BOS,Avery Bradley,University of Texas at Austin,5,263,6631,2693,637,383,.436,.365,.780,25.2,10.2,2.4,1.5,5.8,.042
20,20,SAS,James Anderson,Oklahoma State University,4,196,3599,1243,474,250,.417,.330,.755,18.4,6.3,2.4,1.3,3.6,.047
21,21,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-0.089
22,22,POR,Elliot Williams,University of Memphis,3,96,1348,510,152,82,.432,.314,.676,14.0,5.3,1.6,0.9,0.7,.027
23,23,MIN,Trevor Booker,Clemson University,5,294,5857,1916,1467,231,.525,.299,.614,19.9,6.5,5.0,0.8,14.2,.117
24,24,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-0.001
25,25,MEM,Dominique Jones,University of South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017
26,26,OKC,Quincy Pondexter,University of Washington,5,259,4468,1267,501,196,.419,.338,.733,17.3,4.9,1.9,0.8,7.7,.083
27,27,NJN,Jordan Crawford,Xavier University,4,257,6348,3132,665,813,.405,.306,.828,24.7,12.2,2.6,3.2,5.2,.039
28,28,MEM,Greivis Vasquez,University of Maryland,5,355,8459,3257,918,1766,.423,.350,.813,23.8,9.2,2.6,5.0,12.2,.070
29,29,ORL,Daniel Orton,University of Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093
30,30,WAS,Lazar Hayward,Marquette University,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,NJN,Tibor Pleiss,,,,,,,,,,,,,,,,
32,32,MIA,Dexter Pittman,University of Texas at Austin,4,50,347,116,89,9,.450,,.545,6.9,2.3,1.8,0.2,0.5,.068
33,33,SAC,Hassan Whiteside,Marshall University,3,53,859,404,373,4,.614,,.529,16.2,7.6,7.0,0.1,3.9,.216
34,34,POR,Armon Johnson,University of Nevada Reno,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-0.015
35,35,WAS,Nemanja Bjelica,,,,,,,,,,,,,,,,
36,36,DET,Terrico White,University of Mississippi,,,,,,,,,,,,,,,
37,37,MIL,Darington Hobson,University of New Mexico,1,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-0.225
38,38,NYK,Andy Rautins,Syracuse University,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-0.314
39,39,NYK,Landry Fields,Stanford University,5,249,5999,1731,1088,418,.474,.332,.666,24.1,7.0,4.4,1.7,10.5,.084
40,40,IND,Lance Stephenson,University of Cincinnati,5,256,6898,2307,1175,862,.446,.296,.668,26.9,9.0,4.6,3.4,11.9,.083
41,41,MIA,Jarvis Varnado,Mississippi State University,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089
42,42,MIA,Da'Sean Butler,West Virginia University,,,,,,,,,,,,,,,
