
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,LAC,Blake Griffin,University of Oklahoma,5,359,12765,7732,3510,1392,.524,.256,.652,35.6,21.5,9.8,3.9,48.7,.183
2,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099
3,3,OKC,James Harden,Arizona State University,6,432,13876,8322,1832,1877,.446,.371,.853,32.1,19.3,4.2,4.3,59.3,.205
4,4,SAC,Tyreke Evans,University of Memphis,6,390,13105,6547,1897,2002,.444,.272,.758,33.6,16.8,4.9,5.1,20.1,.073
5,5,MIN,Ricky Rubio,,4,197,6272,2019,843,1606,.368,.318,.802,31.8,10.2,4.3,8.2,11.5,.088
6,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-0.015
7,7,GSW,Stephen Curry,Davidson College,6,395,13899,8218,1640,2709,.469,.435,.898,35.2,20.8,4.2,6.9,49.8,.172
8,8,NYK,Jordan Hill,University of Arizona,6,315,5803,2426,1816,210,.498,.071,.697,18.4,7.7,5.8,0.7,12.4,.102
9,9,TOR,DeMar DeRozan,University of Southern California,6,424,14135,7169,1585,969,.442,.264,.815,33.3,16.9,3.7,2.3,23.4,.080
10,10,MIL,Brandon Jennings,,6,412,13969,6819,1336,2542,.391,.351,.802,33.9,16.6,3.2,6.2,26.6,.092
11,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-0.004
12,12,CHA,Gerald Henderson,Duke University,6,369,10072,4396,1230,766,.443,.305,.794,27.3,11.9,3.3,2.1,13.5,.064
13,13,IND,Tyler Hansbrough,University of North Carolina,6,365,6520,2664,1633,166,.434,.053,.744,17.9,7.3,4.5,0.5,17.8,.131
14,14,PHO,Earl Clark,University of Louisville,5,251,3537,1111,755,131,.404,.331,.671,14.1,4.4,3.0,0.5,2.9,.040
15,15,DET,Austin Daye,Gonzaga University,6,285,4056,1496,750,204,.403,.352,.780,14.2,5.2,2.6,0.7,4.4,.052
16,16,CHI,James Johnson,Wake Forest University,6,324,6090,2199,1081,502,.475,.263,.710,18.8,6.8,3.3,1.5,10.1,.080
17,17,PHI,Jrue Holiday,University of California Los Angeles,6,369,12180,5043,1336,2257,.439,.375,.790,33.0,13.7,3.6,6.1,19.0,.075
18,18,MIN,Ty Lawson,University of North Carolina,6,400,12408,5729,1159,2604,.468,.372,.773,31.0,14.3,2.9,6.5,37.1,.144
19,19,ATL,Jeff Teague,Wake Forest University,6,422,10782,4831,850,2090,.450,.339,.840,25.5,11.4,2.0,5.0,26.4,.117
20,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041
21,21,NOH,Darren Collison,University of California Los Angeles,6,421,12353,5214,1154,2086,.465,.366,.850,29.3,12.4,2.7,5.0,26.5,.103
22,22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011
23,23,SAC,Omri Casspi,,6,373,7603,2861,1427,405,.426,.347,.681,20.4,7.7,3.8,1.1,10.8,.068
24,24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008
