
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079
26,26,CHI,Taj Gibson,University of Southern California,6,421,10417,3893,2628,389,.484,.053,.689,24.7,9.2,6.2,0.9,27.2,.125
27,27,MEM,DeMarre Carroll,University of Missouri,6,299,6316,2157,1075,329,.455,.362,.741,21.1,7.2,3.6,1.1,15.2,.116
28,28,MIN,Wayne Ellington,University of North Carolina,6,364,6875,2486,744,382,.421,.382,.849,18.9,6.8,2.0,1.0,6.9,.048
29,29,LAL,Toney Douglas,Florida State University,6,300,5744,2337,656,664,.405,.354,.818,19.1,7.8,2.2,2.2,9.1,.076
30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-0.020
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,SAC,Jeff Pendergraph,Arizona State University,5,204,2113,615,572,91,.551,.500,.777,10.4,3.0,2.8,0.4,5.9,.133
32,32,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014
33,33,POR,Dante Cunningham,Villanova University,6,412,8304,2518,1593,277,.473,.065,.649,20.2,6.1,3.9,0.7,14.9,.086
34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-0.008
36,36,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063
37,37,SAS,DeJuan Blair,University of Pittsburgh,6,386,6760,2785,2071,337,.529,.000,.613,17.5,7.2,5.4,0.9,19.1,.136
38,38,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113
39,39,DET,Jonas Jerebko,,5,310,6155,2244,1315,232,.470,.344,.760,19.9,7.2,4.2,0.7,13.7,.107
40,40,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085
41,41,MIL,Jodie Meeks,University of Kentucky,6,394,9599,3885,862,436,.422,.371,.882,24.4,9.9,2.2,1.1,19.6,.098
42,42,LAL,Patrick Beverley,University of Arkansas,3,145,3950,1296,518,431,.400,.362,.792,27.2,8.9,3.6,3.0,9.6,.117
43,43,MIA,Marcus Thornton,Louisiana State University,6,385,9571,4922,1114,551,.429,.363,.827,24.9,12.8,2.9,1.4,17.7,.089
44,44,DET,Chase Budinger,University of Arizona,6,321,6465,2671,1003,379,.423,.356,.804,20.1,8.3,3.1,1.2,11.1,.082
45,45,MIN,Nick Calathes,University of Florida,2,109,1675,508,191,298,.453,.289,.580,15.4,4.7,1.8,2.7,2.5,.072
46,46,CLE,Danny Green,University of North Carolina,6,302,7347,2841,1004,448,.437,.414,.821,24.3,9.4,3.3,1.5,20.3,.133
47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,
48,48,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-0.039
49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,
50,50,UTA,Goran Suton,Michigan State University,,,,,,,,,,,,,,,
51,51,SAS,Jack McClinton,University of Miami,,,,,,,,,,,,,,,
52,52,IND,A.J. Price,University of Connecticut,6,256,3885,1517,374,561,.382,.319,.742,15.2,5.9,1.5,2.2,4.9,.060
53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081
54,54,CHA,Robert Vaden,University of Alabama at Birmingham,,,,,,,,,,,,,,,
55,55,POR,Patrick Mills,Saint Mary's College of California,6,259,3793,1906,354,407,.444,.396,.851,14.6,7.4,1.4,1.6,9.6,.121
56,56,DAL,Ahmad Nivins,Saint Joseph's University,,,,,,,,,,,,,,,
57,57,PHO,Emir Preldzic,,,,,,,,,,,,,,,,
58,58,BOS,Lester Hudson,University of Tennessee at Martin,3,52,538,250,69,66,.372,.263,.810,10.3,4.8,1.3,1.3,0.0,.003
59,59,LAL,Chinemelu Elonu,Texas A&amp;M University,,,,,,,,,,,,,,,
60,60,MIA,Robert Dozier,University of Memphis,,,,,,,,,,,,,,,
